commodity,month_num,avg_price
Fuel (Petrol-Gasoline),2,100.09
Fuel (Petrol-Gasoline),3,100.6825
Fuel (Petrol-Gasoline),4,94.77
Fuel (Petrol-Gasoline),5,95.0225
Fuel (Petrol-Gasoline),6,99.724
Fuel (Petrol-Gasoline),7,102.86
Fuel (Petrol-Gasoline),8,107.1825
Fuel (Petrol-Gasoline),9,111.065
Fuel (Petrol-Gasoline),10,105.6525
Fuel (Petrol-Gasoline),11,106.525
Fuel (Petrol-Gasoline),12,103.87
Kale,1,1376.558333
Kale,2,1443.230089
Kale,3,1435.277917
Kale,4,1490.106285
Kale,5,1515.035704
Kale,6,1625.035714
Kale,7,1405.702381
Kale,8,1347.242
Kale,9,1293.673333
Kale,10,1480.732143
Kale,11,1722.847361
Kale,12,1148.116071
Maize,1,33.35804444
Maize,2,33.9592377
Maize,3,34.1613625
Maize,4,33.74975641
Maize,5,35.38367593
Maize,6,35.49591626
Maize,7,35.40741875
Maize,8,31.80499323
Maize,9,29.49717507
Maize,10,31.77684532
Maize,11,31.36589815
Maize,12,31.07250148
Maize (White),1,1031.735447
Maize (White),2,1090.283325
Maize (White),3,1310.843396
Maize (White),4,1063.263917
Maize (White),5,1128.298575
Maize (White),6,1080.610937
Maize (White),7,1184.948716
Maize (White),8,1147.227898
Maize (White),9,1047.088116
Maize (White),10,1137.4299
Maize (White),11,1038.97519
Maize (White),12,943.5576989
"Maize (White, Dry)",1,4047.329714
"Maize (White, Dry)",2,3829.137143
"Maize (White, Dry)",3,3986.791667
"Maize (White, Dry)",4,3920.247143
"Maize (White, Dry)",5,4109.986726
"Maize (White, Dry)",6,4594.622727
"Maize (White, Dry)",7,4844.528896
"Maize (White, Dry)",8,4213.95619
"Maize (White, Dry)",9,4288.3425
"Maize (White, Dry)",10,4878.583889
"Maize (White, Dry)",11,4336.678571
"Maize (White, Dry)",12,4198.2625
Maize Flour,1,85.18574405
Maize Flour,2,84.61058384
Maize Flour,3,86.68152857
Maize Flour,4,89.21191071
Maize Flour,5,88.95493056
Maize Flour,6,88.42590686
Maize Flour,7,87.10998718
Maize Flour,8,68.72362963
Maize Flour,9,71.2179902
Maize Flour,10,81.14213889
Maize Flour,11,93.76299107
Maize Flour,12,84.86958333
Meat (Beef),1,546.5587
Meat (Beef),2,559.1253333
Meat (Beef),3,399.5333333
Meat (Beef),4,557.5710417
Meat (Beef),5,541.9274074
Meat (Beef),6,557.0454545
Meat (Beef),7,527.037037
Meat (Beef),8,494.1666667
Meat (Beef),9,568.784375
Meat (Beef),10,523.2877273
Meat (Beef),11,576.1698519
Meat (Beef),12,590.9255556
Meat (Camel),1,500
Meat (Camel),2,520.2808571
Meat (Camel),3,521.9096429
Meat (Camel),4,548.9188889
Meat (Camel),5,533.4125
Meat (Camel),6,540.8468889
Meat (Camel),7,508.0308333
Meat (Camel),8,533.556
Meat (Camel),9,511.52875
Meat (Camel),10,565.0011111
Meat (Camel),11,525.4534921
Meat (Camel),12,563.3188889
